Fitness,Label,Type,TrainDelta,TestDelta,AP_Eng1,AP_Eng2,AP_Eng3,HDG_Mode1,HDG_Mode2,HDG_Mode3,ALT_Mode1,ALT_Mode2,ALT_Mode3,HDG_Ref1,HDG_Ref2,HDG_Ref3,TurnK1,TurnK2,TurnK3,ALT_Ref1,ALT_Ref2,ALT_Ref3,Pwheel1,Pwheel2,Pwheel3
-3.843799344,0,0,0,0,1,1,0,0,0,1,0,1,0,-167.599411,-22.05203052,-42.63895545,34.44825547,35.78399555,8.409267205,489.7643958,445.5862007,646.3130101,12.56188985,15.28120092,-13.43849538
-6.494937873,0,0,0,0,1,1,1,1,0,1,1,0,1,-87.29702852,122.6582122,-88.45841557,36.64281717,10.95862359,41.81686304,349.983766,196.5952504,251.083858,6.962680569,-1.602669066,-8.900429576
-13.96543007,0,0,0,0,0,0,1,0,1,1,1,0,0,-58.63584802,-121.6143691,105.9424346,14.00467689,23.7839911,7.454192827,601.9819414,262.9712845,654.0790985,11.35287019,14.88909557,-2.96750409
0.829906639,1,0,0,0,1,0,1,0,0,0,0,0,0,108.0246529,-24.69102211,147.833134,8.183116274,11.87113124,6.549254117,136.0685587,869.2922076,579.7045874,2.99161211,-21.30271211,21.18186706
-10.83686105,0,0,0,0,0,1,0,0,0,1,1,1,0,-139.9670081,100.8907446,-39.69401869,10.87610787,18.17604655,4.340453633,131.9732926,942.0505908,956.1345402,4.512515705,-26.41322742,-15.9132052
-21.86637664,0,0,0,0,0,1,1,0,1,1,1,1,1,-150.7947232,154.5789495,99.2565643,21.90562346,19.61363649,20.10526872,306.349472,508.5086554,510.7715642,19.0576625,17.68988501,8.659087812
-19.32008579,0,0,0,0,0,1,1,0,0,0,0,0,1,-23.14847372,-68.00317681,152.4166712,19.35933261,8.316734406,40.71964359,979.7483784,438.8699731,111.1192234,-14.51611825,-5.476809233,5.693764441
0,1,0,0,0,1,1,1,0,0,0,1,0,1,-14.81442186,166.7118741,16.85005875,23.45111239,10.4217474,22.00039848,624.0600882,679.1355409,395.5152157,-7.953801087,29.27892019,-27.73566803
-22.46176278,0,0,0,0,0,1,0,0,0,1,1,1,0,-108.7884624,-169.0052593,87.86673373,22.5010096,21.59649635,40.71250071,609.8666484,617.6663896,859.4423056,18.32936547,4.603290937,-19.02465184
-43.74460815,0,0,0,0,0,1,1,0,0,1,0,1,1,-126.0484407,57.45789105,6.694179304,43.78385496,29.20461717,36.01487589,453.7977087,432.3915038,825.3137954,-24.99181111,-22.00973954,-19.59668321
-27.32270195,0,0,0,0,1,1,1,1,1,0,0,1,0,-57.78237118,162.5869673,151.3195343,2.370464896,33.2036143,12.11037419,422.835615,547.8709012,942.7369843,-4.935353741,28.98314799,-11.91270308
-8.552319467,0,0,0,0,0,1,0,1,1,1,0,1,0,127.9882101,52.11523327,-44.5420043,8.591566286,19.27138468,21.69099275,120.6116133,589.5074847,226.1876798,-6.922852538,4.979182965,-14.89163265
-1.501441787,0,0,0,0,1,0,1,1,1,1,0,0,1,-115.6441728,-27.76115192,-146.077438,26.93356509,21.19159154,31.3177191,699.8878499,638.5307583,33.60383607,-25.87163405,-10.82401589,1.851856842
-28.65766259,0,0,0,0,0,1,1,0,1,1,0,1,0,135.1337755,6.49875901,159.7041448,28.69690941,43.09622729,10.8318166,676.1223039,289.0645717,671.8081654,11.70842997,-25.92043389,-14.7125906
0,1,0,0,0,1,0,0,0,1,1,1,0,1,-167.125416,-116.6852104,79.83289202,21.30686968,6.87245402,15.35060732,607.3892138,191.7452555,738.42684,-15.4290241,25.04546052,-13.8563048
-4.514968866,0,0,0,0,1,1,0,0,0,1,1,0,1,-17.95042909,-14.85882229,58.30011069,34.66284817,15.7598106,29.79043193,416.15859,841.9291527,832.9168191,-14.61354047,6.807644209,4.934949872
-16.42248114,0,0,0,0,0,1,1,1,0,0,1,1,1,-157.1071064,-34.35120149,-18.58575166,16.46172796,34.35770884,28.25533708,771.9803856,932.8535703,972.740854,-18.47829903,-21.66754783,11.77598022
-30.71446719,0,0,0,0,0,1,0,1,0,1,1,0,0,-50.67784426,85.08242675,-37.9053089,30.75371401,31.68213437,19.9037436,19.57762355,330.8578802,424.3094968,-13.78377459,-18.17677211,19.3032711
-26.42192567,0,0,0,0,0,0,0,1,0,0,0,0,0,176.3539753,5.192444342,138.3411683,26.46117249,6.96385569,8.993827029,406.9548371,748.7057182,825.5838158,17.3977818,-10.88854528,2.043847642
0,1,0,0,0,1,0,1,0,1,1,1,1,1,131.5578928,40.52392901,176.3820741,23.74560312,21.57855233,36.06064225,227.8429357,498.0942912,900.8524885,4.479673148,20.7106911,14.31841752
0,1,0,0,0,0,0,1,0,1,1,0,1,0,-104.6141698,18.82488295,46.75801862,1.439595709,27.66210386,16.3085158,49.53257904,489.5699892,192.5103961,-22.61497515,-17.67034975,-21.20910536
-4.717677377,0,0,0,0,0,1,1,1,1,1,1,0,0,-105.8488144,161.2559237,-150.4543654,4.756924196,6.391850486,7.490719839,620.9586439,573.7097648,52.07789029,25.87208308,13.7197009,14.27049923
0,1,0,0,0,1,1,1,0,0,0,1,1,0,123.1943805,21.2517162,127.4759817,15.65456374,20.07119916,2.4407768,177.1075338,662.808062,330.8289952,23.90916827,-22.91068809,29.30507573
-33.5103265,0,0,0,0,0,0,0,0,0,1,0,0,0,-11.35144803,148.3676907,-142.5558331,33.54957332,33.1320355,25.28376414,184.1940975,597.2113503,299.9369901,-21.95262403,-17.243908,23.69650053
-3.599562222,0,0,0,0,0,0,1,1,1,1,1,1,0,94.11331921,47.18519972,-147.6390057,3.638809041,34.97582414,40.73106349,533.7719518,109.154212,825.8088579,-9.714136872,-12.36161682,14.77880566
-40.03215874,0,0,0,0,0,1,0,0,1,0,1,1,1,-133.9601833,17.83443853,-5.317412909,40.07140556,35.95321255,33.04534877,51.33188611,72.8852991,88.52745967,17.90105185,26.58048837,11.02293434
-9.232006859,0,0,0,0,0,1,0,0,0,1,0,0,0,35.25898874,104.1710197,-47.64494936,9.271253678,3.899994633,34.73702627,205.6745215,388.271631,551.778532,-16.26280488,8.516437224,-0.931177656
-8.39648947,0,0,0,0,0,0,1,0,0,1,1,0,0,55.97929433,-140.4881817,156.1535454,8.435736289,11.97804775,35.90236171,487.6037754,768.9582641,396.0067452,-13.62367235,-27.76592196,10.39769485
-7.532061613,0,0,0,0,0,0,0,1,1,1,0,0,1,-131.6508104,-144.5061266,-128.8701906,7.571308432,8.831201502,14.28658988,316.4289991,217.5633094,251.041846,23.57534432,12.19339347,3.344276563
-7.211781914,0,0,0,0,0,0,0,0,0,1,1,0,0,43.44190099,-124.42687,-42.7157264,7.251028733,34.11505941,39.20000049,350.7767449,685.5357087,294.1486338,1.837758231,19.94540318,5.849411512
-60.68022949,0,0,0,0,1,1,1,1,0,1,1,1,0,95.00325994,93.35785793,86.63330339,33.46597537,4.766418753,30.67021937,463.2605786,212.1632053,98.51873769,19.41446844,-19.49941576,-20.18580541
